city,year,month,pred_risk,p_low,p_mod,p_high,p_extreme,heat_stress_index_proj,temp_delta_c,urban_delta_pct,pop_delta_mult
Islamabad,2024,1,0,0.9999999718424383,2.4793548960617298e-08,3.1652990567729684e-09,1.9871361629608819e-10,-0.6786560834048395,2.0,4.0,1.1
Islamabad,2024,2,0,0.9999999653607387,3.0501054696701514e-08,3.907169328668923e-09,2.3103747143649272e-10,-0.3528802049682221,2.0,4.0,1.1
Islamabad,2024,3,0,0.9998629166696733,0.0001369292014738739,1.4600823530932055e-07,8.120617399968087e-09,0.21028303292445352,2.0,4.0,1.1
Islamabad,2024,4,1,4.8095481362114656e-06,0.9999922225666298,2.5601986385657913e-06,4.0768659546835046e-07,0.8432485911453169,2.0,4.0,1.1
Islamabad,2024,5,3,1.227167227112463e-08,5.773813470024579e-07,0.16081501573918422,0.8391843946077966,1.406860511833873,2.0,4.0,1.1
Islamabad,2024,6,3,7.327927666537518e-10,2.635556327987991e-10,4.934740112620756e-07,0.9999995055296402,1.6384305200803395,2.0,4.0,1.1
Islamabad,2024,7,3,3.4611454193554335e-10,8.602084147130866e-10,1.2845909296254293e-05,0.9999871528843808,1.3967206499910396,2.0,4.0,1.1
Islamabad,2024,8,3,5.452108927256851e-09,5.5210734037539195e-08,0.04861102442318188,0.9513889149139751,1.3026892021110394,2.0,4.0,1.1
Islamabad,2024,9,2,8.851570277970257e-09,2.800955007760881e-06,0.9998173565034948,0.0001798336899273345,1.2017898871478128,2.0,4.0,1.1
Islamabad,2024,10,1,3.387825005460503e-05,0.9998000994377632,0.00012915031715603152,3.687199502624912e-05,0.7281645166240576,2.0,4.0,1.1
Islamabad,2024,11,0,0.9962385489738464,0.0037601409719422133,6.796107769063743e-07,6.304434343370287e-07,0.11798498043087602,2.0,4.0,1.1
Islamabad,2024,12,0,0.9999997886833818,1.9793061639329292e-07,1.2108778868925142e-08,1.277222742490114e-09,-0.4054526352396113,2.0,4.0,1.1
Islamabad,2025,1,0,0.9999999329849847,5.8985654626375e-08,7.600489910366152e-09,4.288707137384282e-10,-0.6646566976259374,2.0,4.0,1.1
Islamabad,2025,2,0,0.9999999765188651,1.9769326092350475e-08,3.524248620230212e-09,1.8756023791690582e-10,-0.33888081918931995,2.0,4.0,1.1
Islamabad,2025,3,0,0.999892963872322,0.00010686380971704923,1.634234013064127e-07,8.894559597183448e-09,0.22428241870335558,2.0,4.0,1.1
Islamabad,2025,4,1,1.8920592166623505e-05,0.9999723290560784,7.5454466357049056e-06,1.2049051192113838e-06,0.8572479769242191,2.0,4.0,1.1
Islamabad,2025,5,3,2.987071178012861e-08,8.18750572349217e-07,0.12030544695869692,0.879693704420019,1.420859897612775,2.0,4.0,1.1
Islamabad,2025,6,3,4.586081076615277e-10,2.43371355871668e-10,3.595371662558898e-07,0.9999996397608543,1.6524299058592418,2.0,4.0,1.1
Islamabad,2025,7,3,3.461138411168746e-10,8.602066729483152e-10,1.4870700459625297e-05,0.9999851280932197,1.4107200357699416,2.0,4.0,1.1
Islamabad,2025,8,3,5.452108927256851e-09,5.5210734037539195e-08,0.04861102442318188,0.9513889149139751,1.3166885878899417,2.0,4.0,1.1
Islamabad,2025,9,2,1.4492305286955884e-08,4.585886322173194e-06,0.9996946515821995,0.0003007480391730057,1.2157892729267148,2.0,4.0,1.1
Islamabad,2025,10,1,3.3877626577376424e-05,0.9997816996504616,0.00012914794034253957,5.527478261861665e-05,0.7421639024029596,2.0,4.0,1.1
Islamabad,2025,11,0,0.9973685486609651,0.002630590357780871,4.199237425822337e-07,4.4105751137213776e-07,0.13198436620977808,2.0,4.0,1.1
Islamabad,2025,12,0,0.9999997694732111,2.159484360069891e-07,1.318486322005451e-08,1.393489590944571e-09,-0.39145324946070914,2.0,4.0,1.1
Islamabad,2026,1,0,0.9999999306963191,5.898565449137655e-08,9.889155692482068e-09,4.288707127568865e-10,-0.6506573118470355,2.0,4.0,1.1
Islamabad,2026,2,0,0.9999999765188651,1.9769326092350475e-08,3.524248620230212e-09,1.8756023791690582e-10,-0.324881433410418,2.0,4.0,1.1
Islamabad,2026,3,0,0.9998931086717838,0.00010686382519252779,1.8608462821846616e-08,8.894560885248761e-09,0.2382818044822576,2.0,4.0,1.1
Islamabad,2026,4,1,1.8932537645326308e-05,0.999973503277161,6.359278659587818e-06,1.204906534075528e-06,0.871247362703121,2.0,4.0,1.1
Islamabad,2026,5,3,2.11067404267797e-08,6.036543203352893e-07,0.07450882442671956,0.9254905508122195,1.4348592833916773,2.0,4.0,1.1
