city,year,month,pred_risk,p_low,p_mod,p_high,p_extreme,heat_stress_index_proj,temp_delta_c,urban_delta_pct,pop_delta_mult
Islamabad,2024,1,0,0.999122679233551,0.0008772182045504451,1.7121537609909865e-07,1.322738807374435e-08,-1.0201853506492706,0.0,0.0,1.0
Islamabad,2024,2,0,0.9977744221687317,0.002224496565759182,9.414583814759681e-07,7.30426208406243e-08,-0.6944094722126534,0.0,0.0,1.0
Islamabad,2024,3,0,0.9847123622894287,0.015264326706528664,2.170556763303466e-05,1.5883547348494176e-06,-0.13124623431997795,0.0,0.0,1.0
Islamabad,2024,4,1,0.16139528155326843,0.7120267152786255,0.12152884900569916,0.005049171857535839,0.5017193239008856,0.0,0.0,1.0
Islamabad,2024,5,3,1.6341122091034777e-06,0.0010859183967113495,0.1517561823129654,0.8471562266349792,1.0653312445894416,0.0,0.0,1.0
Islamabad,2024,6,3,3.539222745985171e-07,0.0003404324233997613,0.10335014015436172,0.8963090777397156,1.296901252835908,0.0,0.0,1.0
Islamabad,2024,7,3,2.6911445729638217e-06,0.0033298947382718325,0.30538779497146606,0.6912796497344971,1.0551913827466082,0.0,0.0,1.0
Islamabad,2024,8,2,1.904067539726384e-05,0.048273634165525436,0.8698917627334595,0.08181547373533249,0.9611599348666081,0.0,0.0,1.0
Islamabad,2024,9,2,0.00017119351832661778,0.1488630324602127,0.8223283290863037,0.028637545183300972,0.8602606199033813,0.0,0.0,1.0
Islamabad,2024,10,1,0.039583027362823486,0.7978135347366333,0.16139566898345947,0.0012077578576281667,0.3866352493796259,0.0,0.0,1.0
Islamabad,2024,11,0,0.9766485095024109,0.023320069536566734,2.985095852636732e-05,1.604544422662002e-06,-0.22354428681355543,0.0,0.0,1.0
Islamabad,2024,12,0,0.9985668063163757,0.0014326571254059672,4.4883120153826894e-07,3.645936530460858e-08,-0.7469819024840426,0.0,0.0,1.0
Islamabad,2025,1,0,0.9988370537757874,0.0011626736959442496,2.8848836564066005e-07,2.1710167885657938e-08,-1.0068332716341133,0.0,0.0,1.0
Islamabad,2025,2,0,0.9979257583618164,0.0020733638666570187,8.18022670046048e-07,6.264270524525273e-08,-0.6810573931974961,0.0,0.0,1.0
Islamabad,2025,3,0,0.9868560433387756,0.013126964680850506,1.5933957911329344e-05,1.1240310868743109e-06,-0.11789415530482061,0.0,0.0,1.0
Islamabad,2025,4,1,0.14586395025253296,0.710516631603241,0.13762491941452026,0.0059944926761090755,0.5150714029160428,0.0,0.0,1.0
Islamabad,2025,5,3,1.3096286011204938e-06,0.0009288832661695778,0.14445672929286957,0.8546130061149597,1.078683323604599,0.0,0.0,1.0
Islamabad,2025,6,3,3.3133349575109605e-07,0.00032596668461337686,0.10198530554771423,0.8976883888244629,1.3102533318510656,0.0,0.0,1.0
Islamabad,2025,7,3,2.2666313270747196e-06,0.0027179857715964317,0.27513429522514343,0.7221454381942749,1.0685434617617655,0.0,0.0,1.0
Islamabad,2025,8,2,1.73730786627857e-05,0.044969696551561356,0.8651816844940186,0.08983123302459717,0.9745120138817653,0.0,0.0,1.0
Islamabad,2025,9,2,0.00015515778795816004,0.1399112492799759,0.8282117247581482,0.031721845269203186,0.8736126989185385,0.0,0.0,1.0
Islamabad,2025,10,1,0.03246118873357773,0.7730153799057007,0.19306394457817078,0.0014594619860872626,0.3999873283947832,0.0,0.0,1.0
Islamabad,2025,11,0,0.9729335904121399,0.02702765353024006,3.682913666125387e-05,1.9028213955607498e-06,-0.2101922077983982,0.0,0.0,1.0
Islamabad,2025,12,0,0.998529314994812,0.0014701236505061388,4.684561929479969e-07,3.7687687637344425e-08,-0.7336298234688854,0.0,0.0,1.0
Islamabad,2026,1,0,0.998806357383728,0.0011932681081816554,3.012480931374739e-07,2.248510000413262e-08,-0.9934811926189561,0.0,0.0,1.0
Islamabad,2026,2,0,0.9979121088981628,0.0020869430154561996,8.262501296485425e-07,6.274217412283178e-08,-0.6677053141823387,0.0,0.0,1.0
Islamabad,2026,3,0,0.9864619374275208,0.013520071282982826,1.684858216322027e-05,1.1807020428022952e-06,-0.1045420762896633,0.0,0.0,1.0
Islamabad,2026,4,1,0.1291622370481491,0.7072004079818726,0.15672354400157928,0.0069138784892857075,0.5284234819312003,0.0,0.0,1.0
Islamabad,2026,5,3,1.1457278787929681e-06,0.0008387278649024665,0.1396627426147461,0.8594973087310791,1.0920354026197563,0.0,0.0,1.0
Islamabad,2026,6,3,3.1335858352576906e-07,0.000312671298161149,0.10056661814451218,0.8991203904151917,1.3236054108662227,0.0,0.0,1.0
Islamabad,2026,7,3,1.9216863620385993e-06,0.002234086161479354,0.24815808236598969,0.7496058940887451,1.0818955407769228,0.0,0.0,1.0
Islamabad,2026,8,2,1.5898684068815783e-05,0.041838373988866806,0.8591995239257812,0.0989462286233902,0.9878640928969228,0.0,0.0,1.0
Islamabad,2026,9,2,0.00013932143338024616,0.13076940178871155,0.8341158628463745,0.03497545048594475,0.886964777933696,0.0,0.0,1.0
Islamabad,2026,10,1,0.026904741302132607,0.7463682293891907,0.2250172197818756,0.001709813834168017,0.4133394074099406,0.0,0.0,1.0
Islamabad,2026,11,0,0.9685095548629761,0.0314425528049469,4.562636240734719e-05,2.2596586859435774e-06,-0.19684012878324075,0.0,0.0,1.0
Islamabad,2026,12,0,0.9984937906265259,0.001505664549767971,4.865531195719086e-07,3.872883524991266e-08,-0.7202777444537279,0.0,0.0,1.0
